unity导出插件现在去哪里下载？,https://github.com/egret-labs/egret-3d/tree/4f47a252af3436ef20078274fdf5eb955f0d0446/ExportTools,,
如何删除子对象,this.removeChild(this.view),,
可以关闭exml打包集成吗？,你先看下 thm.json 有没有这个 exml 文件解析，如果有就不会再去加载 exml 了,,
新手引导挖洞问题,rendertexture+blendmode  ,,
升级到4.0.1 执行egret apitest出错,apitest 是2.0 升级2.5以上的检测命令，其他的时候不可以使用，并且 4.0 不支持这个。,,
菜鸟提问：如何在项目中引入动画素材？,先看下这些吧 http://developer.egret.com/cn/github/egret-docs/DB/dbLibs/createProject/index.html,,
请教一下，通过微信公众号中的菜单指引到一个webapp中。,这个需要自己开发微信公众号后台，默认的公众号，是不允许在菜单里加外链的,,
微信分享问题,用的是测试账号还是订阅号还是服务号。试试其他接口好用么，看看是不是权限的问题。,,
自定义事件没有接收到,谁发送，谁接收。main类中的方法接受，那么要main这个实例对象抛这个事件,,
TabBar控件无法自定义条目皮肤,理论上不应该这样的，能传个小demo上来我们看下么？,,
TextField如果实现纵向文本显示,宽度设为一个汉字的宽度，高度设为文本长度,,
native编译后能否获取到gameEngineView的截图,截图暂时还没有支持呢,,
Egret Wing 3.2.6 如何多行添加屏蔽代码,ctrl + /,,
关于eui.IItemRenderer的data,这个时候还没设置data吧 在item下 接这个方法    protected dataChanged():void,,
求助，滚动地图，切换图片时候灰跳一下！,有时间的话中午帮你看一下,,
关于监听多个对象的问题,给他们的父类添加监听，然后根据target去判断子级目标,,
首次播放Flash导出的动画不流畅，出现卡顿,帧数是看最后生成的雪碧图来计算的，你要考虑到你最后使用的是多少帧,,
为啥照着文档来，打包ios也不行,3.2.6感觉官方都没测就发布了，自己的demo打包运行都报错,,
ios打包 热更新问题 3.2.6,这个问题下个版本会解决~,,
eui层级排列图标的小bug，,收到确实显示的不对,,
用新版的resourcemanager加载不到eui的sprite sheet问题,这里存在一个适配问题，这个是新的 ResourceManager 的BUG，请您暂时使用手动的方式解决，我们会在 2017年春节之前修复这个 BUG。,,
如何在编辑器使用exml的时候左侧导航栏中显示"组件",边缘部分，选中，往上拉,,
动态修改css样式,let _body = document.body as HTMLBodyElement; _body.style.cursor = "move"; // 设置你的手势,,
egret wing3不能打断点了,首选项 - 用户设置 - 把settings.json配置文件清空。,,
IOS调用Egret的问题,需要等游戏加载结束，这里是异步的，最好的方法是js先给native发送一个EgretInterface通知一下。具体请参考工程模版中的setInterfaces方法。,,
4.0引擎setTimeout在webStorm中老是编译时警告,用wing4吧， webStorm 不在官方支持范围，只能等他们解决了,,
如何实现 ios 创建引擎的时候加载js，而不是在run的时候加载,不行的，因为只有run的时候才知道使用哪个code.zip，才会去加载，而创建引擎的时候并不知晓。。。,,
Egret wing 3 创建项目的时候报这个错,你拿命令行创建试下   egret create Hello,,
egret中stage的width和stagewidth 以及mesuredwidth的区别？,width 是stage宽，就和普通的容器一样。stageWidth 是设计分辨率，不过根据不同的适配模式，可能会变。,,
egret系统错误信息,采用控制台来启动egret服务器，在控制台里面就可以看了,,
mac关于龙骨的IDE的界面,"清理下程序的缓存。打开finder,点前往文件夹， 输入~/Library/ ，然后再进入到 Application Support >DragonBonesPro，删除里面的Local Store文件夹，然后再启动程序试试",,
升级3.2.6之后编译报错,这个问题已经在4.0.1 得到了解决，感谢开发者提供的 Demo 支持,,
打包ios， 热更新设置customLoadingFlag的问题,这里确实有问题，明天发的版本会修复,,
编译的时候提示egret没有Tween关键字是怎么回事？,要用控制台来创建项目，不要用egret wing来创建，egret wing创建的项目不包含Tween库,,
关于事件侦听器的问题,需要手动删除，否则会内存泄漏,,
MovieClip 怎么水平翻转,秒点没设置好吧，估计飞到屏幕左侧去了,,
"添加Shape对象取到的坐标x,y都是0",drawArc的意思这个里面的x和y的意思是你相对于ttt多少的x，y画图，ttt相当于一张画布，如果你想要能通过ttt获取到这个图的x和y，可以先move这个ttt，然后drawArc的时候设置x和y都为0，这样这个图和ttt的坐标原点就一致了,,
自定义组件生成第三方库后EXML文件无法使用组件,gui强制读取了src目录下的类定义，导致了这个错误，gui很多设计已经不是很好了，所以我们全新的ui框架是eui,,
发布apk 运行黑屏,目前已知换行符不能被正常解析，我们会处理一下这个问题。,,
今天更新ide到4.0.0，创建新项目，提示vs code语言不匹配,全局的typescript版本和wing内置的typescript版本不一致，这个忽略即可，但是我建议你升级你的全局typescript版本，现在最新的都2.1.5了，你还是1.7.5。,,
想学习nodejs，求过来人推荐书籍,node.js深入浅出,,
Wing3使用问题,egret engine不要安装在带有中文的路径,,
我就想问问Image的filters属性该怎么填,这个还是在游戏里写吧，还不支持创建对象的规则,,
如何让图片从上到下渐变显示出来,设置图片的fillMode为clip，然后增加高度,,
怎么开启es7的支持,你是想要es7的特性吗？你可以使用lib参数，这个是在ts2.0时加入的特性，详情看这里 ，在ts2.1时支持了target参数的新值有ES2016 ES2017 ESNext，详情看这里，应该使用lib参数就可以使用es7的特性了。,,
关于js 调用 ts 的问题,哥们我只能帮到你这了,,
升级后，删除之前项目中部分文件后编译不通过。,好的,,
Wing4发布HTML5版，如何共享通用文件,只要多个项目引擎版本一致，使用cdn上通用的引擎库，在index里面直接改src,,
手机关屏，声音问题,如果监听不到，那就没有办法了,,
使用Texture Merger制作美术数字的fnt文件,texture merger 不支持图片截图操作。那个只是的是对应单个图片而不是一个整张图片里的某个小图。比如说你这里的图片，只能对应一个字符。,,
关于wing中exml不同状态的疑问,null,,
反复修改绘图颜色产生的效率问题,你没有调用 clear 么？,,
新人求助，项目代码混淆的问题,题主怎么解决的？,,
在打包AndroidAPP时怎么修改APP的图标？,删除app，重启机器，再安装看下,,
白鹭引擎在哪个设置游戏的分辨率,index.html,,
新版 resource manager 接入报错,前面加上 sudo ，这个意思是没有权限写,,
请问，用什么方法，显示指定网页！,"window.open(""网址"",""_self"")，这个是直接打开网址了。你是要在相应的一个位置显示",,
怎么获取GET方式传递的变量,如果图片是eui.Image组件的话，直接指定img.source就可以,,
swf  用 swfexporter导出的json有专门的解析类吗？,找对应的工具的解析类吧,,
wing4.0 提示Cannot find name map,可以到QQ群里问。,,
support4.0 热更新的大问题,两个的地址差不多 https://github.com/egret-labs/egret-android-support/tree/update/hotupdate,,
eui找不到名称,egretproperties.json 包涵eui库,,
android打包报错,本地SDK需要配置一下依赖项：org.apache.http.legacy.jar,,
关于创建第三方库protobuf的问题,确实有问题，请使用之前的版本生成第三方库,,
白鹭引擎安装问题,按照的egret engine 别放在带有空格、中文的路径下看看,,
关于websocket 二进制的接收问题,这个暂时不会动了。你们改下发送的时候改下设置吧,,
能在exml里设置富文本吗,不好意思，刚才想了下，不行， exml 里没法设置是一个纯对象的数据的。只能设置值。,,
4.0版本新加的await，等新关键字的api去那里查,阮一峰的写的es6,,
如何获取当前native用的support  版本号,可以通过 egret.Capabilities.supportVersion 来获取 Native 的版本号参数,,
egret升级4.01后，旧项目编译报如下50+错误，egret.d.ts重复,看到了，是因为第三方库的声明导致和项目重复报错，你把第三方库放到项目外看下,,
如何修改adroid app图标,将项目中的res下和drawable有关的图片换掉,,
导出xcode项目后编译时出现大量错误提示,4.0.0版本及以前的版本需要使用7.0及以上的Xcode，4.0.1开始需要升级到8.0及以上。旧版本的Xcode不能很好的支持iOS最新的系统，建议进行升级。,,
wing运行正常，真机运行出现库egret3d加载错误,apk 还不支持 3d,,
新版的res配置 loadConfig.json 是否有些冗余？,会，后面工具会跟上这块。,,
为什么图片没上来也没有报错,直接上demo吧,,
H5游戏音频解码失败,这个应该是浏览器对 webaudio 支持不好导致的，改成 audio 播放方式,,
安卓BitmapFactory.decodeByteArray返回null,"Android support生成的base64带有头部信息（data:image/png;base64,），请您手动去除试试。iOS上的toDataUrl没有头部信息，我们会统一一下这里的接口。",,
ios审核要支持ipv6,webSocket服务器的地址是ip形式的还是域名形式,,
"使用 Publish Build Project, run 后还是被判定为 debug mode",会在 4.0.1 版本中得到修复，4.0.1 预计在1月23日发布,,
egretwang3 没有创建EUI egret项目选项,又有人提同样的问题了，当初我也是死活找不到为什么会这样？后来看到了里面的帖子，原来是你安装这个文件的文件夹的命名问题，你肯定是用了中文，改成英文的就OK了。,,
egret有类似网页的window.close方法么,触发关闭前事件而非关闭方法，window.close()会直接关闭浏览器。,,
Bitmap如何设置图层,http://developer.egret.com/cn/apidoc/index/name/egret.DisplayObjectContainer#addChild ,,
动态修改图片,前一个bitmap的数据来源是texture,,
粒子库在什么地方找,https://github.com/egret-labs/egret-game-library,,
打包安卓，没有网络的时候，gameloadView的逻辑不对,http://developer.egret.com/cn/github/egret-docs/platform/egret/runtime/index.html,,
safari如何播放背景音乐,ios限制不能自动播放音乐，需要人为的事件触发才可以，所以一般我们都是添加touch事件来解决这个问题，就是当在手机上打开时，用户一般都会用手指触摸屏幕，只要用户触摸就播放音乐，当然了如果有那么一个用户就是不触摸那也没办法。,,
求帮忙，Typescript一个关于闭包的写法,()=>{}箭头函数,,
android项目修改，保留java文件部分,直接修改assets下的egret-game文件夹，把bin-debug、libs、resource直接替换，把launcher里的内容替换为template/runtime的文件,,
求助给做个示例,BitmapFont,,
FPS面板Dirty一直停留在100%,webgl 模式下是没有脏矩形的。就是 100%,,
ResourceManager示例项目疑惑,主题文件那个加载是 eui 的，不再资源管理范围内,,
Egret4.0 打包第三方库失败,收到，已重现，多谢，编译第三方先暂时使用之前的版本,,
关于微信分享,http://mp.weixin.qq.com/wiki/11/74ad127cc054f6b80759c40f77ec03db.html,,
如何实现对象的深度切换,http://developer.egret.com/cn/github/egret-docs/Engine2D/displayObjecContainer/depthManagement/index.html,,
Wing4.0不能打开多个项目,在资源管理器中右击使用wing打开项目就会在新窗口打开,,
TiledMap怎么取图块自定义属性,不建议用tiled的自定义属性,,
Graphics.beginBitmapFill &drawTriangles API开发一下,暂时还不会加入，会稍晚些。,,
打包失败，请设置环境变量 ANDROID_HOME,设置完重启下机器,,
纹理集如何在eui的exml里使用,就按正常的 key 的获取方式写就行。 如果subkey 是唯一的，就直接写，不行就 a.b 的方式去写,,
eui里面如何使用settimeout.,"这个是在game库里吧,是不是没加啊",,
类型强转怎么转,var picnum = +foldname[1];,,
getPixel32,已反馈给相关同事,,
TextureMerger 命令行,这个问题原因还不明，我们先记录下来，多谢反馈。,,
